name,genres,year,country,producer,imdb_rating,link
Ад каннибалов,ужасы,1980,Италия,Руджеро Деодато,5.8,https://ru.wikipedia.org/wiki/%D0%90%D0%B4_%D0%BA%D0%B0%D0%BD%D0%BD%D0%B8%D0%B1%D0%B0%D0%BB%D0%BE%D0%B2
Бабочки-убийцы,"боевик,фильм ужасов,мистика",1979,Гонконг,Цуй Харк,6.4,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B8-%D1%83%D0%B1%D0%B8%D0%B9%D1%86%D1%8B
Во тьме,"фильм ужасов,кинофантастика",1979,,Джон Кардос,4.2,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE_%D1%82%D1%8C%D0%BC%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1979)"
Съеденные заживо,фильм ужасов,1980,,Умберто Ленци,5.1,https://ru.wikipedia.org/wiki/%D0%A1%D1%8A%D0%B5%D0%B4%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B7%D0%B0%D0%B6%D0%B8%D0%B2%D0%BE
Сожжение,"фильм ужасов,слэшер",1980,США,Тони Мэйлэм,6.3,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B6%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1981)"
"Пятница, 13-е",слэшер,1980,США,Шон Каннингем,6.4,"https://ru.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D0%BD%D0%B8%D1%86%D0%B0,_13-%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Сияние,"психологический фильм ужасов,мистика,[1]",1980,Великобритания,Стэнли Кубрик,8.4,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D1%8F%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Смерть Дракулы,фильм ужасов,1980,США,Домоник Пэрис,3.7,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D1%8C_%D0%94%D1%80%D0%B0%D0%BA%D1%83%D0%BB%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
С днём рождения меня,фильм ужасов,1980,Канада,Джей Ли Томпсон,6.0,https://ru.wikipedia.org/wiki/%D0%A1_%D0%B4%D0%BD%D1%91%D0%BC_%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BC%D0%B5%D0%BD%D1%8F
Патрик ещё жив,"криминальный фильм,драма,фильм ужасов",1980,Италия,Марио Ланди,5.5,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%82%D1%80%D0%B8%D0%BA_%D0%B5%D1%89%D1%91_%D0%B6%D0%B8%D0%B2
Сексуальный каннибал,"фильм ужасов,, ,боевик",1980,Франция,Хесус Франко,3.5,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BA%D1%81%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BA%D0%B0%D0%BD%D0%BD%D0%B8%D0%B1%D0%B0%D0%BB
Предостережение,фантастика,1980,США,Грейдон Кларк,5.1,"https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%B5%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
По ту сторону зла,фильм ужасов,1980,,Херб Фрид,4.1,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE_%D1%82%D1%83_%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83_%D0%B7%D0%BB%D0%B0
"Он знает, что вы одни",,1980,США,Арман Мастрояни,5.0,"https://ru.wikipedia.org/wiki/%D0%9E%D0%BD_%D0%B7%D0%BD%D0%B0%D0%B5%D1%82,_%D1%87%D1%82%D0%BE_%D0%B2%D1%8B_%D0%BE%D0%B4%D0%BD%D0%B8"
Ночь охоты,драма,1980,Франция,Жан Роллен,5.6,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%87%D1%8C_%D0%BE%D1%85%D0%BE%D1%82%D1%8B
Ночь демона,ужасы,1980,США,Джеймс С. Вассон,4.7,"https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%87%D1%8C_%D0%B4%D0%B5%D0%BC%D0%BE%D0%BD%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Новогоднее зло,"фильм ужасов,[2],слэшер,[3],[4],независимый кинематограф,[5]",1980,США,Эммет Олстон,4.9,"https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE%D0%B4%D0%BD%D0%B5%D0%B5_%D0%B7%D0%BB%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Невидимое,,1980,США,Дэнни Стейнманн,5.2,"https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D0%B8%D0%B4%D0%B8%D0%BC%D0%BE%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
